Replication, Day, Queue Amount
1, 523, 0
1, 524, 0
1, 525, 28
1, 526, 61
1, 527, 11
1, 528, 0
1, 529, 0
1, 530, 0
1, 531, 0
1, 532, 37
1, 533, 73
1, 534, 8
1, 535, 1
1, 536, 0
1, 537, 0
1, 538, 1
1, 539, 37
1, 540, 64
1, 541, 0
1, 542, 0
1, 543, 1
1, 544, 0
1, 545, 0
1, 546, 37
1, 547, 71
1, 548, 15
1, 549, 0
1, 550, 0
1, 551, 0
1, 552, 0
1, 553, 37
1, 554, 79
1, 555, 60
1, 556, 10
1, 557, 1
1, 558, 0
1, 559, 0
1, 560, 36
1, 561, 66
1, 562, 32
1, 563, 1
1, 564, 1
1, 565, 0
1, 566, 0
1, 567, 41
1, 568, 77
1, 569, 8
1, 570, 0
1, 571, 0
1, 572, 0
1, 573, 0
1, 574, 37
1, 575, 78
1, 576, 16
1, 577, 0
1, 578, 1
1, 579, 0
1, 580, 1
1, 581, 32
1, 582, 68
1, 583, 18
1, 584, 0
1, 585, 0
1, 586, 0
1, 587, 1
1, 588, 30
1, 589, 67
1, 590, 5
1, 591, 0
1, 592, 1
1, 593, 0
1, 594, 0
1, 595, 25
1, 596, 65
1, 597, 0
1, 598, 0
1, 599, 0
1, 600, 0
1, 601, 1
1, 602, 35
1, 603, 60
1, 604, 0
1, 605, 0
1, 606, 1
1, 607, 0
1, 608, 0
1, 609, 46
1, 610, 73
1, 611, 31
1, 612, 0
1, 613, 0
1, 614, 0
1, 615, 0
1, 616, 27
1, 617, 67
1, 618, 25
1, 619, 0
1, 620, 0
1, 621, 0
1, 622, 0
1, 623, 31
1, 624, 74
1, 625, 8
1, 626, 1
1, 627, 0
1, 628, 0
1, 629, 0
1, 630, 40
1, 631, 80
1, 632, 4
1, 633, 1
1, 634, 1
1, 635, 0
1, 636, 0
1, 637, 42
1, 638, 85
1, 639, 5
1, 640, 0
1, 641, 0
1, 642, 0
1, 643, 0
1, 644, 36
1, 645, 83
1, 646, 50
1, 647, 5
1, 648, 0
1, 649, 1
1, 650, 0
1, 651, 36
1, 652, 78
1, 653, 30
1, 654, 1
1, 655, 0
1, 656, 0
1, 657, 0
1, 658, 35
1, 659, 72
1, 660, 6
1, 661, 1
1, 662, 0
1, 663, 0
1, 664, 0
1, 665, 22
1, 666, 50
1, 667, 2
1, 668, 0
1, 669, 0
1, 670, 0
1, 671, 0
1, 672, 31
1, 673, 68
1, 674, 21
1, 675, 0
1, 676, 0
1, 677, 0
1, 678, 0
1, 679, 29
1, 680, 66
1, 681, 13
1, 682, 0
1, 683, 0
1, 684, 0
1, 685, 0
1, 686, 30
1, 687, 65
1, 688, 3
1, 689, 0
1, 690, 0
1, 691, 0
1, 692, 0
1, 693, 30
1, 694, 66
1, 695, 20
1, 696, 0
1, 697, 0
1, 698, 0
1, 699, 0
1, 700, 37
1, 701, 75
1, 702, 1
1, 703, 0
1, 704, 0
1, 705, 0
1, 706, 1
1, 707, 38
1, 708, 71
1, 709, 9
1, 710, 0
1, 711, 0
1, 712, 0
1, 713, 0
1, 714, 46
1, 715, 91
1, 716, 38
1, 717, 0
1, 718, 0
1, 719, 0
1, 720, 0
1, 721, 45
1, 722, 79
1, 723, 34
1, 724, 0
1, 725, 0
1, 726, 0
1, 727, 0
1, 728, 48
1, 729, 85
1, 730, 40
1, 731, 46
1, 732, 62
1, 733, 73
1, 734, 92
1, 735, 196
1, 736, 234
1, 737, 193
1, 738, 213
1, 739, 234
1, 740, 274
1, 741, 290
1, 742, 403
1, 743, 436
1, 744, 371
1, 745, 384
1, 746, 387
1, 747, 401
1, 748, 423
1, 749, 525
1, 750, 556
1, 751, 518
1, 752, 548
1, 753, 560
1, 754, 573
1, 755, 582
1, 756, 695
1, 757, 730
1, 758, 662
1, 759, 695
1, 760, 709
1, 761, 719
1, 762, 747
1, 763, 854
1, 764, 891
1, 765, 840
1, 766, 855
1, 767, 858
1, 768, 869
1, 769, 902
1, 770, 1027
1, 771, 1060
1, 772, 1004
1, 773, 1016
1, 774, 1041
1, 775, 1064
1, 776, 1095
1, 777, 1215
1, 778, 1256
1, 779, 1198
1, 780, 1188
1, 781, 1168
1, 782, 1175
1, 783, 1198
1, 784, 1304
1, 785, 1349
1, 786, 1296
1, 787, 1308
1, 788, 1311
1, 789, 1342
1, 790, 1344
1, 791, 1453
1, 792, 1489
1, 793, 1422
1, 794, 1428
1, 795, 1427
1, 796, 1436
1, 797, 1436
1, 798, 1550
1, 799, 1583
1, 800, 1527
1, 801, 1568
1, 802, 1583
1, 803, 1587
1, 804, 1606
1, 805, 1735
1, 806, 1765
1, 807, 1707
1, 808, 1723
1, 809, 1741
1, 810, 1762
1, 811, 1770
1, 812, 1889
1, 813, 1930
1, 814, 1882
1, 815, 1880
1, 816, 1894
1, 817, 1920
1, 818, 1947
1, 819, 2049
1, 820, 2085
1, 821, 2039
1, 822, 2035
1, 823, 2061
1, 824, 2097
1, 825, 2122
1, 826, 2247
1, 827, 2278
1, 828, 2232
1, 829, 2238
1, 830, 2252
1, 831, 2255
1, 832, 2279
1, 833, 2365
1, 834, 2399
1, 835, 2351
1, 836, 2372
1, 837, 2378
1, 838, 2381
1, 839, 2402
1, 840, 2504
1, 841, 2536
1, 842, 2482
1, 843, 2469
1, 844, 2501
1, 845, 2510
1, 846, 2565
1, 847, 2683
1, 848, 2727
1, 849, 2682
1, 850, 2690
1, 851, 2707
1, 852, 2723
1, 853, 2743
1, 854, 2860
1, 855, 2889
1, 856, 2826
1, 857, 2845
1, 858, 2911
1, 859, 2909
1, 860, 2940
1, 861, 3035
1, 862, 3079
1, 863, 3006
1, 864, 3029
1, 865, 3043
1, 866, 3082
1, 867, 3114
1, 868, 3227
1, 869, 3267
1, 870, 3217
1, 871, 3216
1, 872, 3264
1, 873, 3295
1, 874, 3268
1, 875, 3349
1, 876, 3384
1, 877, 3343
1, 878, 3383
1, 879, 3374
1, 880, 3339
1, 881, 3308
1, 882, 3364
1, 883, 3389
1, 884, 3320
1, 885, 3353
1, 886, 3327
1, 887, 3278
1, 888, 3235
1, 889, 3301
1, 890, 3351
1, 891, 3297
1, 892, 3324
1, 893, 3284
1, 894, 3258
1, 895, 3243
1, 896, 3311
1, 897, 3349
1, 898, 3316
1, 899, 3358
1, 900, 3338
1, 901, 3340
1, 902, 3306
1, 903, 3384
1, 904, 3409
1, 905, 3357
1, 906, 3391
1, 907, 3365
1, 908, 3341
1, 909, 3333
1, 910, 3397
1, 911, 3433
1, 912, 3373
1, 913, 3389
1, 914, 3383
1, 915, 3374
1, 916, 3338
1, 917, 3401
1, 918, 3435
1, 919, 3392
1, 920, 3417
1, 921, 3415
1, 922, 3409
1, 923, 3403
1, 924, 3449
1, 925, 3486
1, 926, 3420
1, 927, 3415
1, 928, 3426
1, 929, 3381
1, 930, 3348
1, 931, 3421
1, 932, 3462
1, 933, 3397
1, 934, 3411
1, 935, 3376
1, 936, 3368
1, 937, 3371
1, 938, 3420
1, 939, 3456
1, 940, 3394
1, 941, 3420
1, 942, 3385
1, 943, 3378
1, 944, 3397
1, 945, 3455
1, 946, 3487
1, 947, 3447
1, 948, 3476
1, 949, 3470
1, 950, 3440
1, 951, 3426
1, 952, 3475
1, 953, 3521
1, 954, 3459
1, 955, 3494
1, 956, 3485
1, 957, 3449
1, 958, 3445
1, 959, 3508
1, 960, 3538
1, 961, 3479
1, 962, 3510
1, 963, 3497
1, 964, 3498
1, 965, 3467
1, 966, 3528
1, 967, 3561
1, 968, 3491
1, 969, 3513
1, 970, 3492
1, 971, 3469
1, 972, 3449
1, 973, 3512
1, 974, 3554
1, 975, 3491
1, 976, 3500
1, 977, 3502
1, 978, 3473
1, 979, 3442
1, 980, 3512
1, 981, 3548
1, 982, 3504
1, 983, 3514
1, 984, 3486
1, 985, 3450
1, 986, 3441
1, 987, 3516
1, 988, 3553
1, 989, 3504
1, 990, 3540
1, 991, 3496
1, 992, 3452
1, 993, 3444
1, 994, 3502
1, 995, 3525
1, 996, 3457
1, 997, 3495
1, 998, 3467
1, 999, 3464
1, 1000, 3467
1, 1001, 3534
1, 1002, 3577
1, 1003, 3506
1, 1004, 3547
1, 1005, 3510
1, 1006, 3470
1, 1007, 3446
1, 1008, 3508
1, 1009, 3547
1, 1010, 3492
1, 1011, 3507
1, 1012, 3529
1, 1013, 3535
1, 1014, 3524
1, 1015, 3595
1, 1016, 3631
1, 1017, 3599
1, 1018, 3607
1, 1019, 3611
1, 1020, 3597
1, 1021, 3567
1, 1022, 3651
1, 1023, 3687
1, 1024, 3656
1, 1025, 3695
1, 1026, 3681
1, 1027, 3649
1, 1028, 3625
1, 1029, 3691
1, 1030, 3732
